kademlia_strategy,scion_fraction,mean_attacker_ratio,std_dev,num_nodes,attacker_fraction,scion_deployment
default,0.0,1.0,0.0,2000,0.6,random
default,0.01,0.998582202111614,0.0006098761651761,2000,0.6,random
default,0.02,0.9973815789473685,0.000471159614105,2000,0.6,random
default,0.03,0.9962951803017592,0.0012026380904309,2000,0.6,random
default,0.05,0.9919551170468188,0.001156875024961,2000,0.6,random
default,0.07,0.9872131487650062,0.0024421824164235,2000,0.6,random
default,0.1,0.9788245114978474,0.003221729747548,2000,0.6,random
default,0.15,0.9546652928332418,0.0047756523022472,2000,0.6,random
default,0.2,0.9273388891852902,0.009182404612655,2000,0.6,random
prefer_scion,0.0,1.0,0.0,2000,0.6,random
prefer_scion,0.01,0.99054854826546,0.0033648001308809,2000,0.6,random
prefer_scion,0.02,0.977340297014466,0.0077306748855653,2000,0.6,random
prefer_scion,0.03,0.955274024024024,0.0192775375348711,2000,0.6,random
prefer_scion,0.05,0.862169712743397,0.0688964011140872,2000,0.6,random
prefer_scion,0.07,0.6075768388531547,0.0884649020309171,2000,0.6,random
prefer_scion,0.1,0.4711214976543924,0.0693075791082258,2000,0.6,random
prefer_scion,0.15,0.3440905599225335,0.0455637591944258,2000,0.6,random
prefer_scion,0.2,0.291189778879746,0.0200082362531611,2000,0.6,random
default,0.0,1.0,0.0,1000,0.6,random
default,0.01,0.998640350877193,0.0007558978067237,1000,0.6,random
default,0.02,0.9975248538011694,0.0014293805144084,1000,0.6,random
default,0.03,0.9947432432432431,0.0015765122251989,1000,0.6,random
default,0.05,0.9927801022163252,0.0018179427757554,1000,0.6,random
default,0.07,0.9872908342100926,0.0032062744002844,1000,0.6,random
default,0.1,0.97834713518479,0.0038570154255345,1000,0.6,random
default,0.15,0.9616455733808676,0.0085297799648293,1000,0.6,random
default,0.2,0.9106581822202564,0.0301323804351597,1000,0.6,random
prefer_scion,0.0,1.0,0.0,1000,0.6,random
prefer_scion,0.01,0.9901473102061338,0.0046272090051079,1000,0.6,random
prefer_scion,0.02,0.9755921052631578,0.0123656600750638,1000,0.6,random
prefer_scion,0.03,0.9538221115852692,0.0189029758470889,1000,0.6,random
prefer_scion,0.05,0.8055969089390143,0.1318860292626511,1000,0.6,random
prefer_scion,0.07,0.6616632996632996,0.1159131833230728,1000,0.6,random
prefer_scion,0.1,0.5077595238095238,0.0650443803081786,1000,0.6,random
prefer_scion,0.15,0.3694803637710758,0.0474687460665322,1000,0.6,random
prefer_scion,0.2,0.2844899540517961,0.0302306962493462,1000,0.6,random
default,0.0,1.0,0.0,5000,0.6,random
default,0.01,0.9985970160443844,0.0007137121088844,5000,0.6,random
default,0.02,0.9974652003783968,0.0005889025140279,5000,0.6,random
default,0.03,0.9961236524926926,0.000594450338243,5000,0.6,random
default,0.05,0.9926124359244372,0.0008866617324854,5000,0.6,random
default,0.07,0.9877194852712724,0.0012478773506411,5000,0.6,random
default,0.1,0.9770287824040996,0.0049887728836294,5000,0.6,random
default,0.15,0.9528865448576193,0.0063394263608952,5000,0.6,random
default,0.2,0.9123668673436128,0.013029898878304,5000,0.6,random
prefer_scion,0.0,1.0,0.0,5000,0.6,random
prefer_scion,0.01,0.9884106638638016,0.0032889852304993,5000,0.6,random
prefer_scion,0.02,0.9741764865520752,0.0070024778066817,5000,0.6,random
prefer_scion,0.03,0.9351014722152492,0.0281478989300978,5000,0.6,random
prefer_scion,0.05,0.8315872962869358,0.0494183634225014,5000,0.6,random
prefer_scion,0.07,0.6144812535350109,0.0451103697950014,5000,0.6,random
prefer_scion,0.1,0.4788455694036498,0.0277169935975208,5000,0.6,random
prefer_scion,0.15,0.3708839467714947,0.0310916959909948,5000,0.6,random
prefer_scion,0.2,0.2955453735772312,0.0197417892981677,5000,0.6,random
default,0.0,1.0,0.0,10000,0.4,random
default,0.01,0.9988625623130608,0.0001343839333872,10000,0.4,random
default,0.02,0.9977329579442182,0.000484826491479,10000,0.4,random
default,0.03,0.9964850533195736,0.0001801406059845,10000,0.4,random
default,0.05,0.993168722206586,0.000535906044072,10000,0.4,random
default,0.07,0.9884865965641214,0.0015702786968494,10000,0.4,random
default,0.1,0.9817900091820804,0.002268977466864,10000,0.4,random
default,0.15,0.9580557895282868,0.0054313390622859,10000,0.4,random
default,0.2,0.914968669565836,0.0107198656035703,10000,0.4,random
prefer_scion,0.0,1.0,0.0,10000,0.4,random
prefer_scion,0.01,0.9761929320226456,0.010555472437395,10000,0.4,random
prefer_scion,0.02,0.9143683985572448,0.0331914091986979,10000,0.4,random
prefer_scion,0.03,0.7755982763753274,0.0903499625511467,10000,0.4,random
prefer_scion,0.05,0.4921957908027645,0.0368081970843224,10000,0.4,random
prefer_scion,0.07,0.3755740122872921,0.0257473662681018,10000,0.4,random
prefer_scion,0.1,0.2819603327257538,0.019604537675938,10000,0.4,random
prefer_scion,0.15,0.2041683665454486,0.0187214205891509,10000,0.4,random
prefer_scion,0.2,0.1472488748455921,0.0076593493474967,10000,0.4,random
default,0.0,1.0,0.0,1000,0.2,random
default,0.01,0.99873417721519,0.0006378150404147,1000,0.2,random
default,0.02,0.9969871794871794,0.0011318737297563,1000,0.2,random
default,0.03,0.9949805194805194,0.0022327026059283,1000,0.2,random
default,0.05,0.9916,0.0018464513846969,1000,0.2,random
default,0.07,0.986308219178082,0.0039720056760159,1000,0.2,random
default,0.1,0.9757339285714286,0.0060655343120725,1000,0.2,random
default,0.15,0.9422846153846154,0.0160500552492592,1000,0.2,random
default,0.2,0.8388249999999999,0.0331269641858839,1000,0.2,random
prefer_scion,0.0,1.0,0.0,1000,0.2,random
prefer_scion,0.01,0.9450443037974684,0.0306243384279558,1000,0.2,random
prefer_scion,0.02,0.736096153846154,0.1239834052227101,1000,0.2,random
prefer_scion,0.03,0.3735378151260504,0.1334050863280186,1000,0.2,random
prefer_scion,0.05,0.19906,0.0400784594711454,1000,0.2,random
prefer_scion,0.07,0.1475410958904109,0.0347727680719697,1000,0.2,random
prefer_scion,0.1,0.0982499999999999,0.0174057634393619,1000,0.2,random
prefer_scion,0.15,0.0688923076923077,0.0219744696762911,1000,0.2,random
prefer_scion,0.2,0.0538166666666666,0.0196698757582674,1000,0.2,random
default,0.0,1.0,0.0,10000,0.6,random
default,0.01,0.9986812606396585,0.0002149265213017,10000,0.6,random
default,0.02,0.9974615799851796,0.0002461191105427,10000,0.6,random
default,0.03,0.9957725225123056,0.0003779991373834,10000,0.6,random
default,0.05,0.9920694638165656,0.0010669052790171,10000,0.6,random
default,0.07,0.9875595017012726,0.0013852889084129,10000,0.6,random
default,0.1,0.980509668447451,0.0020035600061881,10000,0.6,random
default,0.15,0.9550786738722234,0.0042628354614205,10000,0.6,random
default,0.2,0.9224781625329866,0.0081731672498473,10000,0.6,random
prefer_scion,0.0,1.0,0.0,10000,0.6,random
prefer_scion,0.01,0.99100263880856,0.0011803188461169,10000,0.6,random
prefer_scion,0.02,0.9753034060900444,0.0050379906519965,10000,0.6,random
prefer_scion,0.03,0.9328782450393904,0.031493635655801,10000,0.6,random
prefer_scion,0.05,0.75717078918882,0.0973776505920995,10000,0.6,random
prefer_scion,0.07,0.6019035676929005,0.0280633383982668,10000,0.6,random
prefer_scion,0.1,0.4773268109514898,0.017137370538781,10000,0.6,random
prefer_scion,0.15,0.3665204080226619,0.0215099691545366,10000,0.6,random
prefer_scion,0.2,0.2918509857303859,0.013511486416975,10000,0.6,random
default,0.0,1.0,0.0,2000,0.2,random
default,0.01,0.9990284810126582,0.0004357063647905,2000,0.2,random
default,0.02,0.997775641025641,0.0004046311278482,2000,0.2,random
default,0.03,0.9959123376623378,0.000601881463166,2000,0.2,random
default,0.05,0.9924796296296295,0.0009945151364624,2000,0.2,random
default,0.07,0.9883801369863014,0.0013446160906929,2000,0.2,random
default,0.1,0.9771214285714288,0.0022439260419258,2000,0.2,random
default,0.15,0.9447500000000002,0.012256091751038,2000,0.2,random
default,0.2,0.8771625000000001,0.025830304855339,2000,0.2,random
prefer_scion,0.0,1.0,0.0,2000,0.2,random
prefer_scion,0.01,0.9125981012658227,0.056583299991251,2000,0.2,random
prefer_scion,0.02,0.6611891025641026,0.1112210506086482,2000,0.2,random
prefer_scion,0.03,0.3549383116883117,0.0898151109147517,2000,0.2,random
prefer_scion,0.05,0.2204266666666667,0.0323987798886255,2000,0.2,random
prefer_scion,0.07,0.1402431506849315,0.0305255002912705,2000,0.2,random
prefer_scion,0.1,0.1116428571428571,0.0164763367045534,2000,0.2,random
prefer_scion,0.15,0.0730615384615384,0.0121279909993565,2000,0.2,random
prefer_scion,0.2,0.055575,0.0098775254623442,2000,0.2,random
default,0.0,1.0,0.0,10000,0.2,random
default,0.01,0.998882166790767,0.0001687993876017,10000,0.2,random
default,0.02,0.997639219114219,0.0002923204626106,10000,0.2,random
default,0.03,0.9963467532467531,0.0003841268757121,10000,0.2,random
default,0.05,0.9927403267973856,0.0007153115668745,10000,0.2,random
default,0.07,0.9882424657534246,0.001741014515844,10000,0.2,random
default,0.1,0.9780935714285716,0.0024418206517347,10000,0.2,random
default,0.15,0.943686711650922,0.0067444412227024,10000,0.2,random
default,0.2,0.8709651981532399,0.0179051157333779,10000,0.2,random
prefer_scion,0.0,1.0,0.0,10000,0.2,random
prefer_scion,0.01,0.9329683544303796,0.0262960780113168,10000,0.2,random
prefer_scion,0.02,0.5227999999999999,0.102004918932255,10000,0.2,random
prefer_scion,0.03,0.3508487012987012,0.0362809681907068,10000,0.2,random
prefer_scion,0.05,0.2066813333333333,0.019220512396659,10000,0.2,random
prefer_scion,0.07,0.1498219178082191,0.0114108456162231,10000,0.2,random
prefer_scion,0.1,0.1103028571428571,0.0088378330215617,10000,0.2,random
prefer_scion,0.15,0.0722846153846153,0.0077242116168516,10000,0.2,random
prefer_scion,0.2,0.0569394444444444,0.0041662484975346,10000,0.2,random
default,0.0,1.0,0.0,5000,0.2,random
default,0.01,0.9990012658227848,0.0001636837156665,5000,0.2,random
default,0.02,0.9974729344729344,0.0003707974745334,5000,0.2,random
default,0.03,0.9960675324675324,0.0006378138201263,5000,0.2,random
default,0.05,0.9929266666666664,0.0010119532512503,5000,0.2,random
default,0.07,0.9878739726027398,0.0017834402949551,5000,0.2,random
default,0.1,0.977741176470588,0.0033868558505367,5000,0.2,random
default,0.15,0.9415692307692308,0.0172361682628117,5000,0.2,random
default,0.2,0.8569148148148148,0.0260527359026067,5000,0.2,random
prefer_scion,0.0,1.0,0.0,5000,0.2,random
prefer_scion,0.01,0.9206037974683544,0.0418765826053074,5000,0.2,random
prefer_scion,0.02,0.5875282051282051,0.0933323985582944,5000,0.2,random
prefer_scion,0.03,0.3661350649350649,0.0620558870973755,5000,0.2,random
prefer_scion,0.05,0.2148453333333333,0.0250345090812316,5000,0.2,random
prefer_scion,0.07,0.1508671232876712,0.0198449527398344,5000,0.2,random
prefer_scion,0.1,0.109936992481203,0.007444213504227,5000,0.2,random
prefer_scion,0.15,0.073496923076923,0.0077793639596076,5000,0.2,random
prefer_scion,0.2,0.053825,0.0071676194457098,5000,0.2,random
default,0.0,1.0,0.0,1000,0.4,random
default,0.01,0.999024482109228,0.0005579920398067,1000,0.4,random
default,0.02,0.9979051724137932,0.0009778985155281,1000,0.4,random
default,0.03,0.9964732225300093,0.0011396215709013,1000,0.4,random
default,0.05,0.9921434343434342,0.0016538657475833,1000,0.4,random
default,0.07,0.989081498951782,0.0034059732515516,1000,0.4,random
default,0.1,0.9807794736842104,0.0024656475771613,1000,0.4,random
default,0.15,0.9471222222222222,0.0170356239349553,1000,0.4,random
default,0.2,0.8988875000000001,0.0315596574627587,1000,0.4,random
prefer_scion,0.0,1.0,0.0,1000,0.4,random
prefer_scion,0.01,0.9757966101694916,0.0197680862793934,1000,0.4,random
prefer_scion,0.02,0.938198275862069,0.0284268888027207,1000,0.4,random
prefer_scion,0.03,0.8662280701754387,0.0876096195414784,1000,0.4,random
prefer_scion,0.05,0.515007486631016,0.0908977498500699,1000,0.4,random
prefer_scion,0.07,0.3774905660377358,0.0815152596140053,1000,0.4,random
prefer_scion,0.1,0.3104377777777777,0.063646872410409,1000,0.4,random
prefer_scion,0.15,0.1795111111111111,0.0418502523457048,1000,0.4,random
prefer_scion,0.2,0.1647208333333333,0.0340473585952686,1000,0.4,random
default,0.0,1.0,0.0,2000,0.4,random
default,0.01,0.998762241054614,0.0007889696158815,2000,0.4,random
default,0.02,0.99740469348659,0.0009004098899589,2000,0.4,random
default,0.03,0.9965869453044376,0.0007194030843373,2000,0.4,random
default,0.05,0.9931636363636362,0.0016684838578297,2000,0.4,random
default,0.07,0.9883066037735848,0.002410788097781,2000,0.4,random
default,0.1,0.9802969590643272,0.0036471487716168,2000,0.4,random
default,0.15,0.9596139226060794,0.0113964903798403,2000,0.4,random
default,0.2,0.9027746710526316,0.0216167401150577,2000,0.4,random
prefer_scion,0.0,1.0,0.0,2000,0.4,random
prefer_scion,0.01,0.9802372881355932,0.0090227863665606,2000,0.4,random
prefer_scion,0.02,0.934948275862069,0.0253932344570305,2000,0.4,random
prefer_scion,0.03,0.8249912280701756,0.1008341013141155,2000,0.4,random
prefer_scion,0.05,0.5066909090909091,0.0708953878238378,2000,0.4,random
prefer_scion,0.07,0.3931320754716981,0.065165356393603,2000,0.4,random
prefer_scion,0.1,0.2748144444444445,0.0312601053290801,2000,0.4,random
prefer_scion,0.15,0.1971883040935672,0.0286984857497715,2000,0.4,random
prefer_scion,0.2,0.1460589052287581,0.018561259111382,2000,0.4,random
default,0.0,1.0,0.0,5000,0.4,random
default,0.01,0.9989980275547626,0.0002485584441541,5000,0.4,random
default,0.02,0.9973758620689654,0.0005213628897249,5000,0.4,random
default,0.03,0.9962397763414385,0.000684441701351,5000,0.4,random
default,0.05,0.993197563248585,0.0012062906925722,5000,0.4,random
default,0.07,0.9889725689404936,0.0014365520002707,5000,0.4,random
default,0.1,0.9813575940832472,0.0022933383567919,5000,0.4,random
default,0.15,0.9555298241791842,0.0087624444471729,5000,0.4,random
default,0.2,0.9177651634272588,0.0143122055996818,5000,0.4,random
prefer_scion,0.0,1.0,0.0,5000,0.4,random
prefer_scion,0.01,0.979063919353052,0.0059212575376247,5000,0.4,random
prefer_scion,0.02,0.918103448275862,0.036817085082833,5000,0.4,random
prefer_scion,0.03,0.8169296296296297,0.0458003938765755,5000,0.4,random
prefer_scion,0.05,0.4763593939393938,0.0650372939750037,5000,0.4,random
prefer_scion,0.07,0.3867321858104381,0.0333736704538301,5000,0.4,random
prefer_scion,0.1,0.2913333450292398,0.0205029652958347,5000,0.4,random
prefer_scion,0.15,0.1980037900852349,0.0169115027546658,5000,0.4,random
prefer_scion,0.2,0.1519527922077922,0.0158635910550688,5000,0.4,random
